,URL,location,price,align,area,date_pub,date_in,detail,source,payway
10,http://www.107room.com/r349756,q,2200,3室 1厅 1厨 1卫,20 m2,2017年08月06日,0,"
 曙光西里10号楼，由于个人原因现在转租，交通方便，光线好，无中介费 
",False,1
11,http://www.107room.com/r352739,q,2300,4室 1厅 1厨 2卫,20 m2,2017年08月22日,0,"
 本人有房出租，房间主卧，带阳台，屋里设备齐全，空调 床 衣柜 啥都有 拎包就能入住。可做饭。房子空间大。因有急事现便宜转让。房子正规合同，压三付一。随时看房 中介勿扰。谢谢 
",False,1
12,http://www.107room.com/r350733,q,2600,4室 0厅 1厨 1卫,35 m2,2017年08月08日,0,"
 转租原因：工作变动看房时间：电话联系中介勿扰 
",False,1
13,http://www.107room.com/r150283,q,3000,2室 1厅 1厨 1卫,10 m2,2017年08月02日,0,"
 First of All，介绍一下房子的情况，房间是跟房东直签，房子整体是小两居，现在要出租的是朝南的次卧，价格3000一个月，押一付三，楼主是个妹子自己一个人住，是个极度好说话的菇凉，房间的床是1米5的小床，估计只够一个人睡，对租客性别没有要求。 首先，介绍一下房子的位置，坐落在三里屯北小街使馆区中，地铁10号线亮马桥西南侧，走路到地铁站约15分钟，楼下可以停车，但是要收停车费。周围各国使馆围绕，也就是说能看到很多歪果仁，毗邻亮马河畔，每天清晨傍晚都能看到很多人在跑步、钓鱼。 房东直租，有购房合同，无其他费用。 
",True,1
0,http://bj.58.com/zufang/27683452603843x.shtml,c,1600,3室1厅1卫 ,25 平, 07-10 ,0,豪华小区住宅位置：北京市角门地铁口附近，公交便利附近周边生活便利，吃饭，买东西，公交地铁出行，打车方便，大型超市，商场，酒吧ktv，小吃一条街。个人25层精装修高档小区出租，带电梯，健身房，房租月付，屋内干净，实体墙，屋内有独立卫生间，独门独户，可以做饭房间设施：所有房间屋内有冰箱，空调，洗衣机，独立卫生间（热水器淋浴，马桶）、双人床、床垫、电脑桌、大衣柜、窗帘、高速独户光纤上网、有线电视，?24小时全天监控。有存车场，汽车停车位，有固定存车位，独立晾晒区。,True,押一付三
1,http://bj.58.com/zufang/31030909050186x.shtml,c,1700,1室1厅1卫 ,20 平, 08-11 ,0,"
可短租
邻地铁
配套齐全
南北通透
有阳台
首次出租
",True,押一付三
2,http://bj.58.com/zufang/30114173375050x.shtml,c,2200,1室1厅0卫 ,20 平, 05-20 ,0,菜市口 烂漫胡同私房 可洗澡做饭 20平米,True,押一付三
3,http://bj.58.com/zufang/31051221667882x.shtml,c,3000,2室1厅1卫 ,40 平, 08-13 ,0,"
可短租
邻地铁
配套齐全
南北通透
首次出租
随时看房
",True,押一付三
0,http://bj.ganji.com/fang1/2867219813x.htm,c,1600,1室1厅1卫,整租43㎡,1天前,0,"

                槐柏树街北里 房子中等装修，全新家具家电，南北朝向，需要详谈{女士勿扰}环境优雅，希望这套房子能给你温馨的感觉,765.232.854            
",True,押一付一
1,http://bj.ganji.com/fang3/2792146940x.htm,c,1600,3室1厅1卫,次卧15㎡,56天前,0,"

                室内干净整洁 随时入住 如果电话打不通 请拨打170 5559 1846            
",True,押一付三
2,http://bj.ganji.com/fang3/2784765574x.htm,c,1650,3室1厅1卫,次卧15㎡,6小时前,0,"

                室内干净整洁，随时入住            
",True,押一付三
3,http://bj.ganji.com/fang3/2776656006x.htm,c,1650,3室1厅1卫,次卧15㎡,1天前,0,"

                室内干净整洁，随时入住            
",True,押一付三
4,http://bj.ganji.com/fang3/2709274498x.htm,c,1700,3室1厅1卫,次卧15㎡,57天前,0,"

                室内干净整洁，随时入住  如果电话打不通 请拨打170 5559 1846            
",True,押一付三
5,http://bj.ganji.com/fang3/2712430378x.htm,c,1800,3室1厅1卫,次卧18㎡,60天前,0,"

                位置好，朝南次卧，坐地铁二号线长椿街，七号线广安门内都很近，房子在中间点国华商场，宣武医院，地铁公交都很方便能洗澡做饭，想看的联系我，有时候电话打不通请发一条短信给我到时候我会联系你我工作地点信号不强            
",True,押一付三
6,http://bj.ganji.com/fang1/2834627066x.htm,c,2000,2室1厅1卫,整租70㎡,19天前,0,"

                三庙小区全套家电家具可拎包入住.水电是当地的正规介格给水电卡自己交，有宽带可使用，物业不用交小区非常安静环境和绿化都很好，图片是房子的实拍图！喜欢的可以我卫星,（5 3  4 4  71  9  3  2）详谈.女士 中介勿扰！            
",True,押一付一
7,http://bj.ganji.com/fang1/2847962840x.htm,c,2100,2室1厅1卫,整租68㎡,10天前,0,"

                三庙小区房子是之前自己住，中等装修，干净清爽，你可以看下面真是照片、户型格局方正，南北通透，使用率超好，而且前后都无遮挡，采光很好！中意的或者有喜欢的欢迎+我唯 X,（2 874 887 25）详谈价格！            
",True,押一付一
8,http://bj.ganji.com/fang1/2712109210x.htm,c,2100,1室1厅1卫,整租45㎡,56天前,0,"

                三庙小区我家房子，阳光充足，空气流通，家具家电齐全中间楼层，本地段交通方便，只望爱护卫生！由于自家房子，出租价格特别优惠联系！徽 芯  3 5 5 4 1 6 9 4 6 （中介，勿扰)            
",True,押一付一
9,http://bj.ganji.com/fang1/2867648336x.htm,c,2300,1室1厅1卫,整租20㎡,1天前,0,"

                1.房屋特征家具家电齐全，装修配置齐全2.周边配套周边有宣武医院，国华商场，北京小学，宣武公园                    步行5分钟到长椿街地铁站，附近还有10路、88路等公交车站交通十分方便            
",True,押一付三
10,http://bj.ganji.com/fang3/2795310326x.htm,c,2300,3室1厅1卫,主卧25㎡,54天前,0,"

                室内干净整洁，随时入住 如果电话打不通 请拨打170 5559 1846            
",True,押一付三
11,http://bj.ganji.com/fang3/2701172922x.htm,c,2300,3室1厅1卫,主卧25㎡,56天前,0,"

                室内干净整洁，随时入住 如果电话打不通请拨打170 5559 1846            
",True,押一付三
12,http://bj.ganji.com/fang3/2792141936x.htm,c,2300,3室1厅1卫,主卧25㎡,57天前,0,"

                室内干净整洁，随时入住 如果电话打不通 请拨打170 5559 1846            
",True,押一付三
13,http://bj.ganji.com/fang1/2822309036x.htm,c,3000,1室1厅1卫,整租30㎡,29天前,0,"

                自己的房子，，，，，，，，，，，，，，，，，，            
",True,押一付三
14,http://bj.ganji.com/fang1/2723288257x.htm,c,1500,1室1厅1卫,整租45㎡,57天前,0,"

                岳峰园 配置全套家具家电，生活交通都非常方便，生活住家理想选择之地，诚招爱干净租客居住薇5,6,1,2,6,7,4,0,8 （中介的请勿扰）谢！            
",True,押一付一
15,http://bj.ganji.com/fang1/2778981535x.htm,q,2000,1室1厅1卫,整租46㎡,2分钟前,0,"

                红莲南里 房内设施一应俱全房间户型方正，南北朝向，视野很好，通风采光非常好；之前都是自己在住的，            
",True,押一付一
